Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Cayman Islands,1,203294000,"SWN MT, FRZ",18,60,317,289,168,247,302,560,654,574,-12,US,CJ,203294000,
Cayman Islands,2,203292000,"SWN MT,NE,PRC,FZ",13,22,18,8,14,62,10,82,268,490,83,US,CJ,203292000,
Cayman Islands,3,203229000,"HM/SH,X PRC,FRZ",236,285,63,91,132,116,151,364,347,343,-1,US,CJ,203229000,
Cayman Islands,4,203221000,"HM,SH,PRC,FZ",0,0,12,9,49,0,5,27,0,17,,US,CJ,203221000,
Cayman Islands,5,203210000,"SWN CARC,FZ",0,32,0,0,0,0,0,0,0,0,,US,CJ,203210000,
Belgium-Luxembourg(*),1,203294000,"SWN MT, FRZ",0,78,0,181,0,0,0,213,408,712,74,US,BE,203294000,
Belgium-Luxembourg(*),2,203292000,"SWN MT,NE,PRC,FZ",0,686,612,0,"1,392",140,0,0,0,339,,US,BE,203292000,
Belgium-Luxembourg(*),3,203210000,"SWN CARC,FZ",0,0,0,0,0,0,0,0,0,105,,US,BE,203210000,
Belgium-Luxembourg(*),4,203229000,"HM/SH,X PRC,FRZ",0,0,14,0,0,0,0,0,0,0,,US,BE,203229000,
Marshall Islands,1,203292000,"SWN MT,NE,PRC,FZ",82,357,266,377,427,670,622,589,606,598,-1,US,RM,203292000,
Marshall Islands,2,203221000,"HM,SH,PRC,FZ",17,140,176,237,202,289,422,294,444,366,-18,US,RM,203221000,
Marshall Islands,3,203229000,"HM/SH,X PRC,FRZ",151,13,49,31,20,0,15,73,0,49,,US,RM,203229000,
Marshall Islands,4,203210000,"SWN CARC,FZ",0,0,0,0,0,0,0,0,0,31,,US,RM,203210000,
Marshall Islands,5,203294000,"SWN MT, FRZ",171,29,6,17,7,45,62,12,32,24,-26,US,RM,203294000,
French Pacific Islands(*),1,203292000,"SWN MT,NE,PRC,FZ",225,99,265,207,39,68,23,66,589,675,15,US,Z1,203292000,
French Pacific Islands(*),2,203294000,"SWN MT, FRZ",234,241,101,689,"1,749",261,175,273,157,85,-46,US,Z1,203294000,
French Pacific Islands(*),3,203229000,"HM/SH,X PRC,FRZ",0,3,0,0,0,0,6,6,41,6,-85,US,Z1,203229000,
French Pacific Islands(*),4,203210000,"SWN CARC,FZ",0,0,0,0,7,0,0,0,0,0,,US,Z1,203210000,
French Pacific Islands(*),5,203221000,"HM,SH,PRC,FZ",21,9,0,0,11,0,4,0,0,0,,US,Z1,203221000,
Netherlands,1,203229000,"HM/SH,X PRC,FRZ",74,35,0,0,14,130,226,268,266,427,61,US,NL,203229000,
Netherlands,2,203294000,"SWN MT, FRZ",945,"1,719",392,754,414,681,796,658,273,245,-10,US,NL,203294000,
Netherlands,3,203292000,"SWN MT,NE,PRC,FZ",389,750,632,861,146,36,42,53,104,50,-52,US,NL,203292000,
Netherlands,4,203210000,"SWN CARC,FZ",263,0,0,0,0,0,0,0,35,29,-17,US,NL,203210000,
Netherlands,5,203221000,"HM,SH,PRC,FZ",37,0,0,0,33,0,0,0,0,3,,US,NL,203221000,
United Kingdom,1,203229000,"HM/SH,X PRC,FRZ",0,11,0,0,9,463,111,132,660,674,2,US,UK,203229000,
United Kingdom,2,203294000,"SWN MT, FRZ",14,0,75,342,180,102,40,0,438,57,-87,US,UK,203294000,
